"Comment","Designator","Footprint","LCSC Part #"
"BMI160","U1","LGA-14","C94021"
"SW_Push","SW1","SMD-4_6.0x6.0x4.5P","C381064"
"SE8530X2-HF","U4","SOT-23-3","C115014"
"4µ7/16V","C9 C10 C2","0603","C19666"
"100n","C4 C7 C11 C1 C8 C6","0603","C14663"
"LED_RED","D4","LED_0603","C2286"
"LED_BLUE","D3","LED_0603","C72041"
"820","R8 R6","0603","C23253"
"120","R7","0603","C22787"
"Ferrite_Bead_Small","FB1 FB2","0603","C1002"
"47k","R10 R5","0603","C25819"
"1M","R9","0603","C22935"
"4k7","R3 R2","0603","C23162"
"10","R4","0603","C22859"
"AO3400A","Q1","SOT-23-3L","C20917"
"3µ-18","L1","IND-SMD","C83456"
"10u/25V","C3 C5","0805","C15850"
"SS34","D1","SMA,DO-214AC","C8678"
"1k5","R1","0603","C22843"
"ZXCT1009F","U3","SOT-23-3","C83670"
"BAV99","D2","SOT-23-3","C2500"
"dnp","J9","",""
