"Designator","Mid X","Mid Y","Layer","Rotation"
"J9","59.135mm","-144.615mm","top","270.0"
"R2","53.429mm","-154.953mm","top","0.0"
"R10","52.667mm","-152.667mm","top","270.0"
"R6","40.6655mm","-153.429mm","top","0.0"
"R5","51.143mm","-146.571mm","top","90.0"
"R4","52.667mm","-143.523mm","top","90.0"
"R9","52.667mm","-149.619mm","top","270.0"
"R7","54.191mm","-143.523mm","top","270.0"
"R8","52.667mm","-146.571mm","top","270.0"
"R1","37.554mm","-151.905mm","top","180.0"
"R3","50.381mm","-154.953mm","top","180.0"
"D3","54.191mm","-146.571mm","top","90.0"
"D4","54.191mm","-149.619mm","top","90.0"
"C2","48.603mm","-142.761mm","top","180.0"
"C6","43.777mm","-151.905mm","top","0.0"
"C11","54.191mm","-152.667mm","top","270.0"
"C8","40.6655mm","-151.905mm","top","180.0"
"C1","37.554mm","-153.429mm","top","180.0"
"C4","48.603mm","-144.285mm","top","180.0"
"C7","43.777mm","-153.429mm","top","180.0"
"C10","51.143mm","-152.667mm","top","90.0"
"C9","51.143mm","-149.619mm","top","270.0"
"L1","39.9035mm","-147.5235mm","top","90.0"
"D2","42.4435mm","-155.969mm","top","0.0"
"U4","48.603mm","-152.032mm","top","270.0"
"Q1","48.603mm","-146.952mm","top","270.0"
"SW1","58.5mm","-150mm","top","270.0"
"FB2","46.063mm","-152.667mm","top","90.0"
"U3","39.0145mm","-155.969mm","top","0.0"
"U1","46.063mm","-155.969mm","top","180.0"
"FB1","51.143mm","-143.523mm","top","90.0"
"D1","45.047mm","-145.6185mm","top","90.0"
"C3","41.491mm","-143.129mm","top","0.0"
"C5","45.047mm","-150.127mm","top","0.0"
